Email,Type,Started free trial,Decision maker,Designation,Employee Size,Visited Pricing ,Visited Integrations ,Visited Platform ,Country,Acquisition Source,When do you need to Solution,Sources,Destinations
1979@customer-leads.com,created account ,No,No,Product manager,703,No,Yes,No,Denmark,Blog - Redshift - X to Y,Early Exploration,"aurora,s3","bigquery,s3"
1980@customer-leads.com,request demo ,No,Yes,Cto,7732,Yes,Yes,Yes,China,Blog - Redshift - Generic,This Quarter,"redshift,s3,tableau","snowflake,rds,ms_sql"
1981@customer-leads.com,created account ,No,Yes,Ceo,8343,No,Yes,No,Us,Blog - Redshift - Generic,This Quarter,"aurora,s3","bigquery,s3"
1982@customer-leads.com,contact us,No,Yes,Cto,6691,No,No,Yes,China,Blog - Generic,In A Month,"aurora,s3",ms_sql
1983@customer-leads.com,request demo ,Yes,No,Swe,7281,No,Yes,No,Denmark,Ads - ETL Tools,In A Month,"redshift,s3,tableau",redshift
1984@customer-leads.com,request quote,No,No,Ceo,1330,No,Yes,Yes,China,Blog - Generic,In A Month,google_analytics ,"bigquery,s3"
1985@customer-leads.com,request demo ,Yes,Yes,Ceo,3582,No,No,No,India,Blog - Redshift - X to Y,Immediately,"redshift,s3,tableau","snowflake,rds,ms_sql"
1986@customer-leads.com,created account ,Yes,Yes,Cto,950,No,No,Yes,China,Blog - Redshift - Generic,Immediately,"aurora,s3","bigquery,s3"
1987@customer-leads.com,created account ,Yes,No,Swe,1286,No,No,No,China,Direct - Home,This Quarter,"aurora,s3","bigquery,s3"
1988@customer-leads.com,contact us,Yes,No,Business analyst ,2701,No,No,Yes,Germany,Blog - Redshift - Generic,This Quarter,google_analytics ,"postgres,s3,ms_sql"
1989@customer-leads.com,request quote,No,No,Swe,3451,No,Yes,Yes,Germany,Blog - Redshift - X to Y,In A Month,"aurora,s3","bigquery,s3"
1990@customer-leads.com,created account ,Yes,Yes,Cto,4992,No,Yes,Yes,Us,Blog - Redshift - Generic,This Quarter,"redshift,s3,tableau",ms_sql
1991@customer-leads.com,contact us,No,No,Product manager,3827,No,Yes,No,Japan,Ads - ETL Tools,Immediately,google_analytics ,redshift
1992@customer-leads.com,request quote,Yes,Yes,Cto,6940,Yes,No,No,China,Blog - Generic,Immediately,google_analytics ,"snowflake,rds,ms_sql"
1993@customer-leads.com,request quote,Yes,Yes,Ceo,8058,No,Yes,Yes,Denmark,Direct - Home,Immediately,"redshift,s3,tableau","bigquery,s3"
1994@customer-leads.com,contact us,Yes,No,Ceo,1264,No,No,No,China,Blog - Redshift - Generic,Early Exploration,"aurora,s3",redshift
1995@customer-leads.com,request demo ,Yes,Yes,Cto,3807,No,No,No,Denmark,Direct - Home,This Quarter,"mysql,ms_sql",ms_sql
1996@customer-leads.com,request quote,No,No,Cto,2510,No,No,No,Germany,Ads - ETL Tools,This Quarter,"python,chartio,superset","postgres,s3,ms_sql"
1997@customer-leads.com,request quote,No,No,Business analyst ,3547,No,No,No,Japan,Blog - Redshift - Generic,This Quarter,"redshift,s3,tableau",ms_sql
1998@customer-leads.com,contact us,No,Yes,Cto,2541,No,Yes,Yes,Denmark,Blog - Generic,Immediately,google_analytics ,ms_sql
1999@customer-leads.com,created account ,Yes,No,Swe,4323,Yes,Yes,Yes,Japan,Blog - Generic,Early Exploration,google_analytics ,"postgres,s3,ms_sql"
2000@customer-leads.com,request demo ,No,No,Ceo,459,Yes,Yes,Yes,China,Blog - Redshift - X to Y,In A Month,"mysql,ms_sql","postgres,s3,ms_sql"
2001@customer-leads.com,request quote,Yes,Yes,Cto,7085,No,No,Yes,Denmark,Direct - Home,Immediately,"redshift,s3,tableau","bigquery,s3"
2002@customer-leads.com,request quote,Yes,No,Business analyst ,9166,No,Yes,No,China,Blog - Redshift - Generic,This Quarter,google_analytics ,redshift
2003@customer-leads.com,created account ,No,Yes,Tech lead,2947,Yes,No,Yes,Denmark,Ads - ETL Tools,Early Exploration,"redshift,s3,tableau",redshift
2004@customer-leads.com,request demo ,Yes,Yes,Product manager,8695,Yes,Yes,Yes,China,Blog - Redshift - X to Y,In A Month,"redshift,s3,tableau","postgres,s3,ms_sql"
2005@customer-leads.com,created account ,No,No,Swe,722,No,Yes,No,Japan,Direct - Home,In A Month,"redshift,s3,tableau","postgres,s3,ms_sql"
2006@customer-leads.com,contact us,Yes,No,Cto,1529,No,No,No,Denmark,Blog - Redshift - X to Y,Immediately,"mysql,ms_sql",redshift
2007@customer-leads.com,request quote,Yes,No,Tech lead,6528,No,Yes,Yes,Germany,Blog - Generic,Immediately,"redshift,s3,tableau","bigquery,s3"
2008@customer-leads.com,request demo ,No,No,Swe,5133,No,No,Yes,Us,Blog - Redshift - Generic,In A Month,google_analytics ,"postgres,s3,ms_sql"
2009@customer-leads.com,created account ,Yes,Yes,Ceo,5402,Yes,Yes,Yes,Germany,Blog - Redshift - Generic,This Quarter,"python,chartio,superset","postgres,s3,ms_sql"
2010@customer-leads.com,contact us,No,No,Ceo,1445,No,Yes,Yes,China,Direct - Home,Immediately,"mysql,ms_sql","bigquery,s3"
2011@customer-leads.com,created account ,Yes,No,Cto,8694,No,Yes,Yes,Us,Blog - Redshift - Generic,Immediately,"mysql,ms_sql",ms_sql
2012@customer-leads.com,contact us,No,No,Ceo,2679,No,Yes,Yes,Germany,Blog - Redshift - X to Y,Immediately,google_analytics ,"snowflake,rds,ms_sql"
2013@customer-leads.com,contact us,Yes,No,Business analyst ,1167,No,Yes,No,China,Blog - Redshift - Generic,This Quarter,"redshift,s3,tableau","snowflake,rds,ms_sql"
2014@customer-leads.com,request quote,Yes,No,Cto,3338,Yes,Yes,Yes,India,Direct - Home,This Quarter,"aurora,s3",redshift
2015@customer-leads.com,contact us,No,Yes,Cto,9719,No,No,Yes,Germany,Blog - Redshift - Generic,In A Month,google_analytics ,redshift
2016@customer-leads.com,request quote,No,Yes,Cto,7687,Yes,No,No,Japan,Blog - Redshift - Generic,This Quarter,"redshift,s3,tableau",redshift
2017@customer-leads.com,created account ,No,No,Swe,502,No,Yes,No,China,Blog - Generic,Immediately,"python,chartio,superset","bigquery,s3"
2018@customer-leads.com,request demo ,No,Yes,Swe,567,No,Yes,Yes,Japan,Direct - Home,Early Exploration,"python,chartio,superset","bigquery,s3"
2019@customer-leads.com,contact us,No,Yes,Tech lead,4974,Yes,No,No,India,Direct - Home,Early Exploration,"mysql,ms_sql","postgres,s3,ms_sql"
2020@customer-leads.com,contact us,Yes,No,Tech lead,4957,Yes,Yes,No,Us,Blog - Redshift - X to Y,Early Exploration,"aurora,s3","bigquery,s3"
2021@customer-leads.com,request demo ,Yes,Yes,Cto,4745,Yes,No,Yes,India,Blog - Generic,This Quarter,"mysql,ms_sql",redshift
2022@customer-leads.com,contact us,No,No,Ceo,2915,No,No,No,Us,Blog - Redshift - Generic,Immediately,"python,chartio,superset",ms_sql
2023@customer-leads.com,contact us,No,No,Tech lead,5229,Yes,Yes,No,Japan,Blog - Redshift - Generic,Early Exploration,"aurora,s3",redshift
2024@customer-leads.com,request demo ,Yes,No,Cto,6221,No,No,Yes,Us,Direct - Home,Immediately,google_analytics ,"snowflake,rds,ms_sql"
2025@customer-leads.com,created account ,No,Yes,Tech lead,4767,No,No,Yes,Us,Direct - Home,Early Exploration,"redshift,s3,tableau","bigquery,s3"
2026@customer-leads.com,request quote,No,Yes,Ceo,3504,No,Yes,Yes,Denmark,Direct - Home,Early Exploration,google_analytics ,"snowflake,rds,ms_sql"
2027@customer-leads.com,contact us,No,No,Business analyst ,7589,Yes,No,Yes,Japan,Direct - Home,This Quarter,"aurora,s3","bigquery,s3"
2028@customer-leads.com,created account ,Yes,No,Tech lead,7859,Yes,Yes,Yes,Denmark,Blog - Redshift - X to Y,In A Month,google_analytics ,ms_sql
2029@customer-leads.com,created account ,Yes,No,Business analyst ,5975,No,No,No,Germany,Direct - Home,This Quarter,"redshift,s3,tableau",redshift
2030@customer-leads.com,contact us,No,Yes,Tech lead,6715,No,No,No,Germany,Ads - ETL Tools,Immediately,"python,chartio,superset","snowflake,rds,ms_sql"
2031@customer-leads.com,contact us,No,Yes,Ceo,7816,No,No,Yes,China,Direct - Home,This Quarter,"mysql,ms_sql",redshift
2032@customer-leads.com,request quote,Yes,No,Cto,3423,Yes,No,No,Japan,Ads - ETL Tools,Immediately,"aurora,s3",redshift
2033@customer-leads.com,contact us,Yes,No,Cto,6935,Yes,No,Yes,Germany,Blog - Redshift - Generic,This Quarter,"python,chartio,superset",redshift
2034@customer-leads.com,request demo ,No,No,Business analyst ,1712,Yes,Yes,Yes,China,Direct - Home,Immediately,google_analytics ,"bigquery,s3"
2035@customer-leads.com,contact us,Yes,Yes,Ceo,9175,No,No,No,Germany,Direct - Home,Early Exploration,"mysql,ms_sql","snowflake,rds,ms_sql"
2036@customer-leads.com,created account ,Yes,Yes,Business analyst ,7955,Yes,No,Yes,Denmark,Blog - Generic,Immediately,google_analytics ,ms_sql
2037@customer-leads.com,request quote,Yes,No,Product manager,86,Yes,Yes,No,India,Blog - Redshift - X to Y,Immediately,"python,chartio,superset","snowflake,rds,ms_sql"
2038@customer-leads.com,request quote,No,No,Swe,7867,Yes,No,No,China,Blog - Redshift - Generic,This Quarter,"redshift,s3,tableau","bigquery,s3"
2039@customer-leads.com,contact us,Yes,No,Swe,4129,No,No,Yes,Germany,Blog - Redshift - Generic,Immediately,"mysql,ms_sql","snowflake,rds,ms_sql"
2040@customer-leads.com,contact us,No,Yes,Product manager,2053,Yes,No,No,Japan,Blog - Redshift - X to Y,In A Month,"python,chartio,superset",redshift
2041@customer-leads.com,contact us,Yes,No,Tech lead,8805,No,No,Yes,China,Direct - Home,This Quarter,"aurora,s3","bigquery,s3"
2042@customer-leads.com,request demo ,No,Yes,Swe,6897,No,Yes,Yes,China,Ads - ETL Tools,Immediately,"python,chartio,superset",ms_sql
2043@customer-leads.com,contact us,No,No,Cto,7223,Yes,No,No,Germany,Direct - Home,This Quarter,"python,chartio,superset",redshift
2044@customer-leads.com,request demo ,No,Yes,Cto,6075,No,Yes,Yes,Germany,Ads - ETL Tools,This Quarter,"aurora,s3","postgres,s3,ms_sql"
2045@customer-leads.com,request quote,Yes,No,Business analyst ,9730,Yes,Yes,Yes,Denmark,Blog - Generic,Immediately,"redshift,s3,tableau","postgres,s3,ms_sql"
2046@customer-leads.com,request demo ,No,No,Cto,2265,Yes,Yes,Yes,Germany,Blog - Redshift - X to Y,Early Exploration,"aurora,s3",redshift
2047@customer-leads.com,request quote,Yes,Yes,Business analyst ,3808,Yes,No,Yes,Japan,Direct - Home,Immediately,"python,chartio,superset","bigquery,s3"
2048@customer-leads.com,contact us,No,Yes,Business analyst ,6935,Yes,Yes,Yes,China,Ads - ETL Tools,Immediately,"mysql,ms_sql",redshift
2049@customer-leads.com,created account ,No,No,Business analyst ,4381,Yes,No,Yes,India,Ads - ETL Tools,Early Exploration,"redshift,s3,tableau",ms_sql
2050@customer-leads.com,request quote,No,No,Cto,5805,Yes,Yes,Yes,Us,Blog - Generic,Early Exploration,"python,chartio,superset",ms_sql
2051@customer-leads.com,request demo ,No,Yes,Ceo,6973,No,No,No,India,Blog - Redshift - Generic,Early Exploration,google_analytics ,"snowflake,rds,ms_sql"
2052@customer-leads.com,request quote,Yes,Yes,Tech lead,3816,No,Yes,Yes,Japan,Direct - Home,In A Month,google_analytics ,ms_sql
2053@customer-leads.com,request quote,Yes,No,Product manager,8548,No,No,No,Us,Blog - Redshift - Generic,Immediately,"redshift,s3,tableau","postgres,s3,ms_sql"
2054@customer-leads.com,created account ,No,No,Cto,702,No,Yes,Yes,India,Blog - Redshift - Generic,In A Month,"aurora,s3","snowflake,rds,ms_sql"
2055@customer-leads.com,request quote,No,Yes,Business analyst ,9578,No,No,No,Us,Blog - Redshift - Generic,In A Month,google_analytics ,"snowflake,rds,ms_sql"
2056@customer-leads.com,request quote,No,No,Product manager,3201,Yes,Yes,No,Us,Direct - Home,Early Exploration,google_analytics ,"postgres,s3,ms_sql"
2057@customer-leads.com,request demo ,Yes,Yes,Tech lead,1663,No,Yes,No,India,Blog - Generic,Immediately,"aurora,s3","postgres,s3,ms_sql"
2058@customer-leads.com,contact us,No,No,Cto,5794,Yes,No,Yes,Germany,Ads - ETL Tools,In A Month,"redshift,s3,tableau",ms_sql
2059@customer-leads.com,created account ,Yes,Yes,Cto,9974,No,No,Yes,Us,Blog - Generic,This Quarter,"mysql,ms_sql",redshift
2060@customer-leads.com,request quote,No,No,Tech lead,9180,Yes,Yes,No,Japan,Blog - Redshift - Generic,This Quarter,"python,chartio,superset","snowflake,rds,ms_sql"
2061@customer-leads.com,request quote,Yes,Yes,Tech lead,9846,No,Yes,Yes,China,Blog - Generic,In A Month,"python,chartio,superset",ms_sql
2062@customer-leads.com,request quote,Yes,No,Product manager,698,Yes,Yes,Yes,Japan,Blog - Redshift - X to Y,In A Month,"redshift,s3,tableau","postgres,s3,ms_sql"
2063@customer-leads.com,request demo ,Yes,Yes,Tech lead,1332,No,No,No,India,Ads - ETL Tools,Immediately,google_analytics ,"postgres,s3,ms_sql"
2064@customer-leads.com,request demo ,Yes,Yes,Ceo,7480,No,No,Yes,India,Ads - ETL Tools,This Quarter,"mysql,ms_sql","bigquery,s3"
2065@customer-leads.com,request quote,No,Yes,Swe,2441,No,Yes,No,Germany,Blog - Redshift - X to Y,Early Exploration,"mysql,ms_sql",redshift
2066@customer-leads.com,contact us,No,Yes,Business analyst ,5768,No,Yes,No,China,Direct - Home,Early Exploration,"aurora,s3",redshift
2067@customer-leads.com,request quote,No,Yes,Product manager,4238,No,Yes,Yes,Denmark,Blog - Generic,This Quarter,"aurora,s3",ms_sql
2068@customer-leads.com,created account ,No,No,Product manager,7073,No,Yes,No,Japan,Blog - Redshift - Generic,Immediately,"mysql,ms_sql",ms_sql
2069@customer-leads.com,contact us,No,No,Cto,9909,No,Yes,Yes,Denmark,Blog - Generic,In A Month,"python,chartio,superset","postgres,s3,ms_sql"
2070@customer-leads.com,contact us,Yes,Yes,Business analyst ,1118,No,Yes,Yes,Japan,Blog - Redshift - X to Y,This Quarter,google_analytics ,"postgres,s3,ms_sql"
2071@customer-leads.com,contact us,Yes,No,Cto,6554,No,Yes,Yes,India,Blog - Redshift - Generic,In A Month,"aurora,s3",ms_sql
2072@customer-leads.com,created account ,Yes,Yes,Product manager,8263,No,Yes,No,Germany,Ads - ETL Tools,In A Month,"redshift,s3,tableau","postgres,s3,ms_sql"
2073@customer-leads.com,contact us,No,Yes,Ceo,9241,Yes,Yes,No,India,Ads - ETL Tools,This Quarter,"aurora,s3","snowflake,rds,ms_sql"
2074@customer-leads.com,request quote,Yes,No,Business analyst ,8946,Yes,Yes,No,China,Blog - Generic,This Quarter,"python,chartio,superset",redshift
2075@customer-leads.com,request demo ,No,No,Tech lead,5864,No,No,Yes,Japan,Blog - Redshift - X to Y,In A Month,"aurora,s3",ms_sql
2076@customer-leads.com,request demo ,No,Yes,Business analyst ,2741,Yes,Yes,No,Denmark,Blog - Generic,Immediately,google_analytics ,"bigquery,s3"
2077@customer-leads.com,created account ,Yes,Yes,Ceo,8035,Yes,Yes,Yes,Japan,Direct - Home,In A Month,"redshift,s3,tableau",ms_sql
2078@customer-leads.com,request quote,Yes,No,Product manager,8192,Yes,Yes,No,Japan,Direct - Home,In A Month,"mysql,ms_sql",redshift
2079@customer-leads.com,request demo ,Yes,Yes,Swe,9994,Yes,No,No,Japan,Blog - Redshift - Generic,In A Month,"python,chartio,superset",ms_sql
2080@customer-leads.com,created account ,Yes,No,Product manager,3161,No,Yes,Yes,Germany,Blog - Redshift - Generic,Immediately,"python,chartio,superset","postgres,s3,ms_sql"
2081@customer-leads.com,request quote,No,No,Product manager,5930,Yes,Yes,No,Germany,Ads - ETL Tools,This Quarter,"redshift,s3,tableau","bigquery,s3"
2082@customer-leads.com,request quote,Yes,Yes,Ceo,2553,Yes,No,Yes,China,Ads - ETL Tools,This Quarter,"mysql,ms_sql",ms_sql
2083@customer-leads.com,created account ,Yes,No,Cto,9303,No,Yes,No,Denmark,Blog - Redshift - Generic,This Quarter,google_analytics ,redshift
2084@customer-leads.com,created account ,Yes,No,Swe,3314,No,Yes,Yes,Us,Direct - Home,Immediately,google_analytics ,"snowflake,rds,ms_sql"
2085@customer-leads.com,contact us,Yes,No,Swe,8811,Yes,No,No,Us,Blog - Redshift - Generic,This Quarter,"aurora,s3","postgres,s3,ms_sql"
2086@customer-leads.com,created account ,No,Yes,Cto,3218,Yes,Yes,Yes,Japan,Blog - Redshift - Generic,In A Month,"aurora,s3",ms_sql
2087@customer-leads.com,contact us,Yes,Yes,Ceo,3831,Yes,Yes,No,Denmark,Blog - Generic,Immediately,"mysql,ms_sql","postgres,s3,ms_sql"
2088@customer-leads.com,request demo ,No,Yes,Ceo,527,Yes,No,Yes,China,Direct - Home,In A Month,"python,chartio,superset",ms_sql
2089@customer-leads.com,created account ,No,No,Product manager,6462,No,No,No,China,Direct - Home,In A Month,"redshift,s3,tableau","bigquery,s3"
2090@customer-leads.com,request quote,No,Yes,Ceo,8874,No,Yes,No,Denmark,Direct - Home,Immediately,"redshift,s3,tableau","bigquery,s3"
2091@customer-leads.com,request quote,No,Yes,Ceo,9871,No,No,Yes,Us,Direct - Home,Early Exploration,google_analytics ,"snowflake,rds,ms_sql"
2092@customer-leads.com,request quote,Yes,Yes,Ceo,7654,No,No,No,India,Blog - Generic,Early Exploration,"python,chartio,superset",ms_sql
2093@customer-leads.com,created account ,No,No,Business analyst ,2920,Yes,No,No,China,Blog - Generic,This Quarter,google_analytics ,redshift
2094@customer-leads.com,created account ,No,No,Business analyst ,546,Yes,Yes,Yes,Japan,Blog - Generic,Immediately,"aurora,s3","bigquery,s3"
2095@customer-leads.com,contact us,Yes,Yes,Business analyst ,1800,No,No,Yes,China,Ads - ETL Tools,This Quarter,google_analytics ,ms_sql
2096@customer-leads.com,contact us,Yes,No,Swe,7822,Yes,Yes,Yes,India,Blog - Redshift - X to Y,Immediately,google_analytics ,redshift
2097@customer-leads.com,request demo ,No,Yes,Cto,5569,No,No,Yes,Denmark,Blog - Redshift - Generic,Early Exploration,"python,chartio,superset",ms_sql
2098@customer-leads.com,request quote,No,No,Swe,7499,No,No,Yes,Japan,Direct - Home,This Quarter,google_analytics ,"postgres,s3,ms_sql"
2099@customer-leads.com,created account ,No,Yes,Swe,4050,No,Yes,Yes,India,Direct - Home,Immediately,"mysql,ms_sql",ms_sql
2100@customer-leads.com,contact us,No,No,Product manager,7769,No,Yes,Yes,India,Ads - ETL Tools,Immediately,"aurora,s3","bigquery,s3"
2101@customer-leads.com,contact us,Yes,No,Swe,3811,Yes,No,No,India,Ads - ETL Tools,Immediately,"redshift,s3,tableau",redshift
2102@customer-leads.com,request quote,Yes,No,Product manager,2944,Yes,Yes,Yes,India,Blog - Generic,This Quarter,"python,chartio,superset","postgres,s3,ms_sql"
2103@customer-leads.com,request demo ,Yes,Yes,Tech lead,9266,Yes,No,No,India,Blog - Generic,Immediately,google_analytics ,ms_sql
2104@customer-leads.com,request quote,No,Yes,Tech lead,3016,No,No,Yes,Denmark,Ads - ETL Tools,Early Exploration,"mysql,ms_sql","postgres,s3,ms_sql"
2105@customer-leads.com,request demo ,Yes,Yes,Business analyst ,6067,Yes,No,No,China,Blog - Generic,Early Exploration,"aurora,s3","bigquery,s3"
2106@customer-leads.com,request quote,Yes,Yes,Tech lead,8957,Yes,No,No,Denmark,Blog - Generic,This Quarter,"mysql,ms_sql","postgres,s3,ms_sql"
2107@customer-leads.com,contact us,No,No,Cto,2282,No,No,No,Us,Blog - Redshift - Generic,Immediately,"redshift,s3,tableau","bigquery,s3"
2108@customer-leads.com,request quote,Yes,No,Ceo,2169,No,Yes,Yes,Us,Direct - Home,In A Month,"redshift,s3,tableau","bigquery,s3"
2109@customer-leads.com,created account ,Yes,No,Tech lead,8012,Yes,Yes,Yes,Germany,Blog - Generic,This Quarter,google_analytics ,redshift
2110@customer-leads.com,request quote,No,Yes,Ceo,3320,No,No,Yes,Japan,Ads - ETL Tools,Early Exploration,"redshift,s3,tableau","snowflake,rds,ms_sql"
2111@customer-leads.com,created account ,Yes,Yes,Business analyst ,5502,No,Yes,No,China,Ads - ETL Tools,Early Exploration,google_analytics ,ms_sql
2112@customer-leads.com,contact us,No,No,Swe,3490,No,No,Yes,Us,Blog - Redshift - Generic,This Quarter,"mysql,ms_sql",redshift
2113@customer-leads.com,created account ,Yes,Yes,Cto,2874,Yes,No,Yes,Japan,Blog - Redshift - X to Y,Immediately,"redshift,s3,tableau",redshift
2114@customer-leads.com,contact us,Yes,No,Cto,5466,No,Yes,No,India,Blog - Redshift - X to Y,Immediately,google_analytics ,"postgres,s3,ms_sql"
2115@customer-leads.com,request demo ,Yes,No,Ceo,3163,No,Yes,Yes,China,Blog - Redshift - X to Y,In A Month,"redshift,s3,tableau","postgres,s3,ms_sql"
2116@customer-leads.com,request demo ,Yes,No,Cto,6053,No,No,Yes,China,Blog - Generic,Immediately,google_analytics ,"snowflake,rds,ms_sql"
2117@customer-leads.com,request demo ,No,Yes,Business analyst ,7098,Yes,Yes,No,China,Blog - Generic,Early Exploration,"redshift,s3,tableau","bigquery,s3"
2118@customer-leads.com,request quote,No,Yes,Cto,7586,No,Yes,Yes,Germany,Blog - Redshift - Generic,This Quarter,"aurora,s3","snowflake,rds,ms_sql"
2119@customer-leads.com,request demo ,Yes,No,Business analyst ,7817,No,Yes,No,Denmark,Blog - Redshift - X to Y,In A Month,"aurora,s3",ms_sql
2120@customer-leads.com,request demo ,Yes,No,Ceo,2653,Yes,Yes,Yes,China,Ads - ETL Tools,This Quarter,google_analytics ,ms_sql
2121@customer-leads.com,created account ,Yes,Yes,Tech lead,6500,Yes,Yes,Yes,Germany,Direct - Home,In A Month,"redshift,s3,tableau",ms_sql
2122@customer-leads.com,request demo ,Yes,No,Product manager,322,Yes,Yes,Yes,Germany,Direct - Home,Early Exploration,"python,chartio,superset","snowflake,rds,ms_sql"
2123@customer-leads.com,request demo ,Yes,Yes,Product manager,8464,Yes,No,No,Germany,Blog - Redshift - X to Y,Immediately,"redshift,s3,tableau","bigquery,s3"
2124@customer-leads.com,contact us,No,Yes,Swe,9762,Yes,No,Yes,India,Blog - Redshift - X to Y,This Quarter,"redshift,s3,tableau","postgres,s3,ms_sql"
2125@customer-leads.com,request demo ,No,Yes,Tech lead,6291,No,Yes,Yes,Japan,Direct - Home,Immediately,"python,chartio,superset",redshift
2126@customer-leads.com,request quote,No,No,Business analyst ,9743,No,Yes,No,Us,Direct - Home,Early Exploration,"redshift,s3,tableau",ms_sql
2127@customer-leads.com,created account ,Yes,Yes,Ceo,874,Yes,Yes,No,Japan,Blog - Redshift - X to Y,Early Exploration,google_analytics ,redshift
2128@customer-leads.com,contact us,Yes,No,Product manager,4838,No,Yes,Yes,Us,Blog - Redshift - X to Y,Early Exploration,"redshift,s3,tableau","bigquery,s3"
2129@customer-leads.com,request quote,Yes,No,Business analyst ,6596,Yes,Yes,No,Japan,Ads - ETL Tools,This Quarter,"aurora,s3","bigquery,s3"
2130@customer-leads.com,contact us,No,Yes,Product manager,963,No,No,No,China,Blog - Redshift - X to Y,This Quarter,google_analytics ,ms_sql
2131@customer-leads.com,created account ,Yes,No,Tech lead,9699,No,Yes,No,Denmark,Blog - Redshift - X to Y,In A Month,"mysql,ms_sql",redshift
2132@customer-leads.com,request quote,Yes,Yes,Business analyst ,554,Yes,Yes,No,India,Blog - Redshift - Generic,This Quarter,"mysql,ms_sql","postgres,s3,ms_sql"
2133@customer-leads.com,request quote,Yes,No,Swe,8778,Yes,No,Yes,Germany,Ads - ETL Tools,In A Month,"python,chartio,superset","bigquery,s3"
2134@customer-leads.com,request demo ,Yes,Yes,Ceo,9652,No,No,No,China,Blog - Redshift - Generic,This Quarter,"mysql,ms_sql","bigquery,s3"
2135@customer-leads.com,created account ,Yes,No,Product manager,7764,No,No,No,China,Blog - Redshift - Generic,In A Month,"redshift,s3,tableau","bigquery,s3"
2136@customer-leads.com,request quote,Yes,No,Business analyst ,2771,Yes,Yes,Yes,Germany,Blog - Redshift - Generic,This Quarter,"aurora,s3",ms_sql
2137@customer-leads.com,request demo ,No,No,Tech lead,6669,Yes,Yes,No,China,Blog - Generic,Immediately,"python,chartio,superset","snowflake,rds,ms_sql"
2138@customer-leads.com,created account ,Yes,No,Tech lead,6084,No,Yes,Yes,China,Blog - Redshift - Generic,Early Exploration,"aurora,s3",ms_sql
2139@customer-leads.com,created account ,No,Yes,Cto,6763,Yes,No,No,Germany,Blog - Redshift - X to Y,Early Exploration,"mysql,ms_sql",ms_sql
2140@customer-leads.com,request demo ,No,Yes,Product manager,4926,Yes,Yes,No,Japan,Blog - Redshift - Generic,Immediately,"redshift,s3,tableau","postgres,s3,ms_sql"
2141@customer-leads.com,contact us,Yes,No,Product manager,9745,Yes,Yes,Yes,Japan,Ads - ETL Tools,This Quarter,"mysql,ms_sql","snowflake,rds,ms_sql"
2142@customer-leads.com,created account ,Yes,No,Swe,6327,No,No,Yes,Denmark,Ads - ETL Tools,Early Exploration,google_analytics ,"bigquery,s3"
2143@customer-leads.com,request demo ,Yes,Yes,Ceo,2354,No,No,Yes,Us,Direct - Home,In A Month,"python,chartio,superset",redshift
2144@customer-leads.com,contact us,No,Yes,Ceo,7784,No,Yes,Yes,Japan,Blog - Redshift - Generic,In A Month,"redshift,s3,tableau",ms_sql
2145@customer-leads.com,created account ,Yes,Yes,Swe,8293,No,Yes,Yes,China,Blog - Redshift - Generic,Early Exploration,"mysql,ms_sql","snowflake,rds,ms_sql"
2146@customer-leads.com,request demo ,Yes,No,Swe,4601,No,No,No,Denmark,Ads - ETL Tools,This Quarter,"python,chartio,superset","snowflake,rds,ms_sql"
2147@customer-leads.com,contact us,Yes,Yes,Swe,1726,Yes,No,No,Japan,Blog - Redshift - X to Y,This Quarter,"redshift,s3,tableau",ms_sql
2148@customer-leads.com,created account ,Yes,No,Tech lead,5532,Yes,No,Yes,India,Direct - Home,This Quarter,"redshift,s3,tableau","snowflake,rds,ms_sql"
2149@customer-leads.com,request quote,No,Yes,Business analyst ,9556,No,No,Yes,Denmark,Ads - ETL Tools,This Quarter,"aurora,s3","snowflake,rds,ms_sql"
2150@customer-leads.com,created account ,No,No,Business analyst ,9259,No,Yes,No,Us,Blog - Redshift - X to Y,Immediately,"redshift,s3,tableau","postgres,s3,ms_sql"
2151@customer-leads.com,request quote,No,Yes,Swe,9866,Yes,Yes,No,China,Blog - Redshift - Generic,Immediately,"mysql,ms_sql","snowflake,rds,ms_sql"
2152@customer-leads.com,contact us,No,No,Business analyst ,1707,No,Yes,No,China,Blog - Generic,In A Month,"mysql,ms_sql",redshift
2153@customer-leads.com,request demo ,Yes,No,Swe,7333,Yes,No,Yes,Japan,Ads - ETL Tools,Immediately,"aurora,s3",ms_sql
2154@customer-leads.com,request quote,No,No,Cto,2984,Yes,No,Yes,Denmark,Direct - Home,Early Exploration,google_analytics ,"snowflake,rds,ms_sql"
2155@customer-leads.com,request quote,No,Yes,Cto,311,No,Yes,No,Denmark,Blog - Generic,This Quarter,"redshift,s3,tableau","bigquery,s3"
2156@customer-leads.com,request demo ,Yes,No,Product manager,6835,No,No,Yes,Japan,Blog - Redshift - X to Y,In A Month,"aurora,s3","bigquery,s3"
2157@customer-leads.com,contact us,Yes,No,Swe,6896,Yes,No,Yes,Denmark,Direct - Home,Immediately,"mysql,ms_sql","bigquery,s3"
2158@customer-leads.com,request quote,Yes,Yes,Tech lead,6952,Yes,No,Yes,China,Direct - Home,Early Exploration,google_analytics ,ms_sql
2159@customer-leads.com,request demo ,No,No,Business analyst ,4691,Yes,No,Yes,China,Blog - Redshift - Generic,Immediately,"python,chartio,superset","snowflake,rds,ms_sql"
